id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
1,Andres,Gomez,CE,10000001,2005-08-27,2025-09-08,ESTANDAR,,Medellin,Antioquia,ACTIVO,APP_MOVIL
2,Laura,Rodriguez,CC,10000002,1979-08-27,2025-01-31,BASICO,561.0,Cartagena,Bolivar,ACTIVO,
3,Carlos,Martinez,CE,10000003,1994-08-27,2025-08-14,ELITE,751.0,Cartagena,Bolivar,ACTIVO,APP_MOVIL
4,Sofia,Lopez,CE,10000004,1962-08-27,2025-12-15,PREMIUM,529.0,Bogota,Cundinamarca,ACTIVO,CORRESPONSAL
5,Juan,Garcia,CE,10000005,2001-08-27,2025-04-10,PREMIUM,626.0,Medellin,Antioquia,ACTIVO,APP_MOVIL
6,Camila,Perez,CC,10000006,1972-08-27,2026-01-23,BASICO,732.0,Barranquilla,Atlantico,ACTIVO,CORRESPONSAL
7,Daniel,Ramirez,CC,10000007,1994-08-27,2025-02-16,ESTANDAR,845.0,Cartagena,Bolivar,ACTIVO,APP_MOVIL
8,Valentina,Torres,CE,10000008,2000-08-27,2025-10-12,ELITE,775.0,Bogota,Cundinamarca,ACTIVO,WEB
9,Mateo,Diaz,CC,10000009,1984-08-27,2025-10-01,BASICO,761.0,Cali,Valle del Cauca,ACTIVO,WEB
10,Mariana,Castro,CE,10000010,1977-08-27,2025-10-04,ESTANDAR,800.0,Bogota,Cundinamarca,ACTIVO,APP_MOVIL
11,Sebastian,Moreno,CE,10000011,2004-08-27,2026-02-15,PREMIUM,483.0,Bogota,Cundinamarca,ACTIVO,CORRESPONSAL
12,Natalia,Vargas,CE,10000012,1965-08-27,2026-02-10,ELITE,523.0,Bogota,Cundinamarca,ACTIVO,WEB
13,Felipe,Herrera,CE,10000013,1959-08-27,2026-08-22,ELITE,748.0,Bogota,Cundinamarca,INACTIVO,CORRESPONSAL
14,Paula,Rojas,CE,10000014,1998-08-27,2025-04-04,BASICO,506.0,Bogota,Cundinamarca,ACTIVO,WEB
15,David,Suarez,CC,10000015,1968-08-27,2026-01-30,ELITE,755.0,Barranquilla,Atlantico,INACTIVO,CORRESPONSAL
16,Daniela,Ortiz,CC,10000016,2006-08-27,2026-07-04,PREMIUM,843.0,Cartagena,Bolivar,ACTIVO,APP_MOVIL
17,Alejandro,Mejia,CC,10000017,1979-08-27,2026-04-10,BASICO,819.0,Cali,Valle del Cauca,ACTIVO,WEB
18,Sara,Cardona,CE,10000018,2000-08-27,2026-06-04,ESTANDAR,528.0,Cartagena,Bolivar,ACTIVO,WEB
19,Miguel,Restrepo,CC,10000019,1957-08-27,2025-11-28,ELITE,459.0,Cartagena,Bolivar,ACTIVO,CORRESPONSAL
20,Juliana,Quintero,CC,10000020,1991-08-27,2025-09-04,BASICO,493.0,Cali,Valle del Cauca,INACTIVO,APP_MOVIL
