id_mov,id_cli,cod_prod,num_cuenta,fec_mov,hra_mov,vr_mov,tip_mov,cod_canal,cod_ciudad,cod_estado_mov,id_dispositivo
1,1,PROD001,CTA000001,2025-10-30,18:10:00,70000,TRANSFERENCIA,CORRESPONSAL,Medellin,APROBADO,DEV-0001
2,1,PROD001,CTA000001,2026-01-24,20:30:00,180000,TRANSFERENCIA,PSE,Medellin,APROBADO,
3,1,PROD001,CTA000001,2026-02-20,18:10:00,50000,COMPRA,PSE,Medellin,APROBADO,DEV-0001
4,1,PROD001,CTA000001,2025-08-04,15:20:00,150000,COMPRA,CORRESPONSAL,Medellin,APROBADO,DEV-0001
5,2,PROD002,CTA000002,2026-03-29,15:20:00,180000,TRANSFERENCIA,CORRESPONSAL,Cartagena,APROBADO,DEV-0002
6,2,PROD002,CTA000002,2025-06-23,20:30:00,50000,COMPRA,PSE,Cartagena,APROBADO,DEV-0002
7,2,PROD002,CTA000002,2025-04-06,10:30:00,180000,COMPRA,WEB,Cartagena,APROBADO,DEV-0002
8,2,PROD002,CTA000002,2025-07-23,10:30:00,50000,PAGO,WEB,Cartagena,APROBADO,DEV-0002
9,3,PROD003,CTA000003,2026-05-02,18:10:00,50000,RETIRO,CORRESPONSAL,Cartagena,APROBADO,DEV-0003
10,3,PROD003,CTA000003,2026-08-13,10:30:00,180000,RETIRO,CORRESPONSAL,Cartagena,APROBADO,DEV-0003
11,3,PROD003,CTA000003,2026-02-14,10:30:00,70000,PAGO,APP,Cartagena,APROBADO,DEV-0003
12,3,PROD003,CTA000003,2026-03-12,10:30:00,70000,RETIRO,APP,Cartagena,APROBADO,DEV-0003
13,4,PROD004,CTA000004,2026-07-25,10:30:00,50000,RETIRO,WEB,Bogota,APROBADO,DEV-0004
14,4,PROD004,CTA000004,2026-04-21,20:30:00,150000,COMPRA,CORRESPONSAL,Bogota,APROBADO,DEV-0004
15,4,PROD004,CTA000004,2026-06-01,15:20:00,150000,RETIRO,WEB,Bogota,APROBADO,DEV-0004
16,4,PROD004,CTA000004,2026-05-02,15:20:00,90000,TRANSFERENCIA,PSE,Bogota,APROBADO,DEV-0004
17,5,PROD005,CTA000005,2026-08-05,18:10:00,180000,TRANSFERENCIA,PSE,Medellin,APROBADO,DEV-0005
18,5,PROD005,CTA000005,2026-08-12,15:20:00,180000,COMPRA,WEB,Medellin,APROBADO,DEV-0005
19,5,PROD005,CTA000005,2026-08-12,15:20:00,180000,COMPRA,WEB,Medellin,APROBADO,DEV-0005
20,5,PROD005,CTA000005,2026-08-27,02:35:00,8500000,TRANSFERENCIA,CORRESPONSAL,Medellin,APROBADO,DEV-0005
